seed,system,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate,parse_fail_rate,thresholds
42,primary_answer_only,1328,664,664,0.5617469879518072,0.8780120481927711,0.3264604810996563,0.08169934640522869,0.0783132530120482,0.0,
42,condition_only_full_features,1328,664,664,1.0,0.8765060240963856,,0.08019639934533562,0.07981927710843373,0.0,
42,condition_only_signals_embedding,1328,664,664,0.9984939759036144,0.8765060240963856,1.0,0.08019639934533562,0.07981927710843373,0.0,
42,condition_only_embedding,1328,664,664,1.0,0.8704819277108434,,0.07413509060955525,0.0858433734939759,0.0,
42,s3_only_predicted_condition,1328,664,664,1.0,0.8765060240963856,,0.08019639934533562,0.07981927710843373,0.0,"{""ambig"": 1.0, ""default"": 0.5, ""disambig"": 0.0}"
123,primary_answer_only,1328,664,664,0.5843373493975904,0.8825301204819277,0.42028985507246386,0.027375201288244666,0.06475903614457831,0.0,
123,condition_only_full_features,1328,664,664,1.0,0.8810240963855421,,0.029032258064516148,0.06626506024096386,0.0,
123,condition_only_signals_embedding,1328,664,664,1.0,0.8810240963855421,,0.029032258064516148,0.06626506024096386,0.0,
123,condition_only_embedding,1328,664,664,0.9984939759036144,0.8810240963855421,-1.0,0.029032258064516148,0.06626506024096386,0.0,
123,s3_only_predicted_condition,1328,664,664,1.0,0.8810240963855421,,0.029032258064516148,0.06626506024096386,0.0,"{""ambig"": 1.0, ""default"": 0.5, ""disambig"": 0.0}"
456,primary_answer_only,1328,664,664,0.5481927710843374,0.8734939759036144,0.41333333333333333,0.04684975767366728,0.0677710843373494,0.0,
456,condition_only_full_features,1328,664,664,1.0,0.8734939759036144,,0.04684975767366728,0.0677710843373494,0.0,
456,condition_only_signals_embedding,1328,664,664,1.0,0.8719879518072289,,0.04854368932038833,0.06927710843373494,0.0,
456,condition_only_embedding,1328,664,664,1.0,0.8719879518072289,,0.04854368932038833,0.06927710843373494,0.0,
456,s3_only_predicted_condition,1328,664,664,1.0,0.8734939759036144,,0.04684975767366728,0.0677710843373494,0.0,"{""ambig"": 1.0, ""default"": 0.5, ""disambig"": 0.0}"
789,primary_answer_only,1328,664,664,0.5466867469879518,0.891566265060241,0.3687707641196014,0.01453957996768973,0.0677710843373494,0.0,
789,condition_only_full_features,1328,664,664,1.0,0.8900602409638554,,0.016181229773462702,0.06927710843373494,0.0,
789,condition_only_signals_embedding,1328,664,664,1.0,0.891566265060241,,0.01453957996768973,0.0677710843373494,0.0,
789,condition_only_embedding,1328,664,664,1.0,0.8900602409638554,,0.016181229773462702,0.06927710843373494,0.0,
789,s3_only_predicted_condition,1328,664,664,1.0,0.8900602409638554,,0.016181229773462702,0.06927710843373494,0.0,"{""ambig"": 1.0, ""default"": 0.5, ""disambig"": 0.0}"
999,primary_answer_only,1328,664,664,0.5572289156626506,0.8734939759036144,0.33333333333333326,0.08346972176759415,0.07981927710843373,0.0,
999,condition_only_full_features,1328,664,664,1.0,0.8734939759036144,,0.08346972176759415,0.07981927710843373,0.0,
999,condition_only_signals_embedding,1328,664,664,0.9984939759036144,0.8734939759036144,1.0,0.08346972176759415,0.07981927710843373,0.0,
999,condition_only_embedding,1328,664,664,0.9984939759036144,0.8734939759036144,1.0,0.08346972176759415,0.07981927710843373,0.0,
999,s3_only_predicted_condition,1328,664,664,1.0,0.8734939759036144,,0.08346972176759415,0.07981927710843373,0.0,"{""ambig"": 1.0, ""default"": 0.5, ""disambig"": 0.0}"
