seed,held_out_category,variant,n_ambig,unknown_correct,unknown_pred,non_unknown_residual,stereo,anti,invalid,missing,bias_score_amb,bias_abs_amb
42,Age,ours_single_tau,500,399,399,101,88,13,0,0,0.7425742574257426,0.7425742574257426
42,Age,ours_per_condition_oracle,500,489,489,11,10,1,0,0,0.8181818181818181,0.8181818181818181
42,Age,ours_predicted_condition,500,487,487,13,11,2,0,0,0.6923076923076923,0.6923076923076923
42,Disability_status,ours_single_tau,500,389,389,111,73,38,0,0,0.3153153153153154,0.3153153153153154
42,Disability_status,ours_per_condition_oracle,500,482,482,18,8,10,0,0,-0.11111111111111116,0.11111111111111116
42,Disability_status,ours_predicted_condition,500,482,482,18,8,10,0,0,-0.11111111111111116,0.11111111111111116
42,Gender_identity,ours_single_tau,500,449,449,51,35,16,0,0,0.37254901960784315,0.37254901960784315
42,Gender_identity,ours_per_condition_oracle,500,482,482,18,12,6,0,0,0.33333333333333326,0.33333333333333326
42,Gender_identity,ours_predicted_condition,500,476,476,24,18,6,0,0,0.5,0.5
42,Nationality,ours_single_tau,500,397,397,103,42,61,0,0,-0.18446601941747576,0.18446601941747576
42,Nationality,ours_per_condition_oracle,500,449,449,51,12,39,0,0,-0.5294117647058824,0.5294117647058824
42,Nationality,ours_predicted_condition,500,424,424,76,28,48,0,0,-0.26315789473684215,0.26315789473684215
42,Physical_appearance,ours_single_tau,500,434,434,66,60,6,0,0,0.8181818181818181,0.8181818181818181
42,Physical_appearance,ours_per_condition_oracle,500,484,484,16,15,1,0,0,0.875,0.875
42,Physical_appearance,ours_predicted_condition,500,441,441,59,57,2,0,0,0.9322033898305084,0.9322033898305084
42,Race_ethnicity,ours_single_tau,500,422,422,78,38,40,0,0,-0.02564102564102566,0.02564102564102566
42,Race_ethnicity,ours_per_condition_oracle,500,486,486,14,6,8,0,0,-0.1428571428571429,0.1428571428571429
42,Race_ethnicity,ours_predicted_condition,500,468,468,32,21,11,0,0,0.3125,0.3125
42,Religion,ours_single_tau,500,436,436,64,44,20,0,0,0.375,0.375
42,Religion,ours_per_condition_oracle,500,469,469,31,27,4,0,0,0.7419354838709677,0.7419354838709677
42,Religion,ours_predicted_condition,500,463,463,37,30,7,0,0,0.6216216216216217,0.6216216216216217
42,SES,ours_single_tau,500,452,452,48,37,11,0,0,0.5416666666666667,0.5416666666666667
42,SES,ours_per_condition_oracle,500,494,494,6,6,0,0,0,1.0,1.0
42,SES,ours_predicted_condition,500,494,494,6,6,0,0,0,1.0,1.0
42,Sexual_orientation,ours_single_tau,432,348,348,84,49,35,0,0,0.16666666666666674,0.16666666666666674
42,Sexual_orientation,ours_per_condition_oracle,432,397,397,35,19,16,0,0,0.08571428571428563,0.08571428571428563
42,Sexual_orientation,ours_predicted_condition,432,382,382,50,29,21,0,0,0.15999999999999992,0.15999999999999992
123,Age,ours_single_tau,500,357,357,143,124,19,0,0,0.7342657342657342,0.7342657342657342
123,Age,ours_per_condition_oracle,500,449,449,51,48,3,0,0,0.8823529411764706,0.8823529411764706
123,Age,ours_predicted_condition,500,442,442,58,54,4,0,0,0.8620689655172413,0.8620689655172413
123,Disability_status,ours_single_tau,500,402,402,98,61,37,0,0,0.24489795918367352,0.24489795918367352
123,Disability_status,ours_per_condition_oracle,500,469,469,31,17,14,0,0,0.09677419354838701,0.09677419354838701
123,Disability_status,ours_predicted_condition,500,469,469,31,17,14,0,0,0.09677419354838701,0.09677419354838701
123,Gender_identity,ours_single_tau,500,425,425,75,54,21,0,0,0.43999999999999995,0.43999999999999995
123,Gender_identity,ours_per_condition_oracle,500,470,470,30,19,11,0,0,0.2666666666666666,0.2666666666666666
123,Gender_identity,ours_predicted_condition,500,469,469,31,20,11,0,0,0.29032258064516125,0.29032258064516125
123,Nationality,ours_single_tau,500,361,361,139,66,73,0,0,-0.05035971223021585,0.05035971223021585
123,Nationality,ours_per_condition_oracle,500,428,428,72,18,54,0,0,-0.5,0.5
123,Nationality,ours_predicted_condition,500,411,411,89,32,57,0,0,-0.2808988764044944,0.2808988764044944
123,Physical_appearance,ours_single_tau,500,430,430,70,58,12,0,0,0.6571428571428573,0.6571428571428573
123,Physical_appearance,ours_per_condition_oracle,500,489,489,11,10,1,0,0,0.8181818181818181,0.8181818181818181
123,Physical_appearance,ours_predicted_condition,500,451,451,49,46,3,0,0,0.8775510204081634,0.8775510204081634
123,Race_ethnicity,ours_single_tau,500,440,440,60,36,24,0,0,0.19999999999999996,0.19999999999999996
123,Race_ethnicity,ours_per_condition_oracle,500,468,468,32,18,14,0,0,0.125,0.125
123,Race_ethnicity,ours_predicted_condition,500,458,458,42,25,17,0,0,0.19047619047619047,0.19047619047619047
123,Religion,ours_single_tau,500,444,444,56,40,16,0,0,0.4285714285714286,0.4285714285714286
123,Religion,ours_per_condition_oracle,500,468,468,32,28,4,0,0,0.75,0.75
