seed,category,tau,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate,parse_fail_rate
42,Age,0.15,150,75,75,1.0,0.84,,0.3142857142857143,0.06666666666666667,0.0
42,Disability_status,0.05,150,75,75,1.0,0.9066666666666666,,0.04347826086956519,0.08,0.0
42,Gender_identity,0.05,150,75,75,1.0,0.8533333333333334,,0.10447761194029859,0.10666666666666667,0.0
42,Nationality,0.1,150,75,75,0.9866666666666667,0.9733333333333334,-1.0,-0.013698630136986356,0.02666666666666667,0.0
42,Physical_appearance,0.05,150,75,75,0.96,0.76,1.0,0.3015873015873016,0.16,0.0
42,Race_ethnicity,0.05,150,75,75,0.9866666666666667,0.9866666666666667,1.0,0.027027027027026973,0.013333333333333334,0.0
42,Religion,0.1,150,75,75,1.0,0.7333333333333333,,0.014925373134328401,0.10666666666666667,0.0
42,SES,0.1,150,75,75,1.0,0.96,,0.05555555555555558,0.04,0.0
42,Sexual_orientation,0.05,128,64,64,1.0,0.890625,,-0.1228070175438597,0.109375,0.0
123,Age,0.3,150,75,75,1.0,0.8533333333333334,,0.22222222222222232,0.04,0.0
123,Disability_status,0.05,150,75,75,1.0,0.8933333333333333,,-0.10144927536231885,0.08,0.0
123,Gender_identity,0.05,150,75,75,1.0,0.88,,0.0,0.06666666666666667,0.0
123,Nationality,0.1,150,75,75,0.9733333333333334,0.96,0.0,-0.027027027027026973,0.013333333333333334,0.0
123,Physical_appearance,0.2,150,75,75,1.0,0.72,,0.06451612903225801,0.17333333333333334,0.0
123,Race_ethnicity,0.1,150,75,75,1.0,0.9733333333333334,,-0.06849315068493156,0.02666666666666667,0.0
123,Religion,0.05,150,75,75,1.0,0.8133333333333334,,0.07246376811594213,0.08,0.0
123,SES,0.05,150,75,75,1.0,0.9866666666666667,,-0.013333333333333308,0.0,0.0
123,Sexual_orientation,0.05,128,64,64,0.984375,0.859375,-1.0,0.12280701754385959,0.109375,0.0
456,Age,0.05,150,75,75,0.9733333333333334,0.9066666666666666,1.0,0.13888888888888884,0.04,0.0
456,Disability_status,0.15,150,75,75,1.0,0.8933333333333333,,0.0,0.09333333333333334,0.0
456,Gender_identity,0.35,150,75,75,1.0,0.9066666666666666,,0.054054054054053946,0.013333333333333334,0.0
456,Nationality,0.1,150,75,75,1.0,0.9466666666666667,,0.054054054054053946,0.013333333333333334,0.0
456,Physical_appearance,0.1,150,75,75,1.0,0.7066666666666667,,-0.016393442622950838,0.18666666666666668,0.0
456,Race_ethnicity,0.1,150,75,75,1.0,0.9333333333333333,,-0.12328767123287676,0.02666666666666667,0.0
456,Religion,0.1,150,75,75,1.0,0.7866666666666666,,0.1384615384615384,0.13333333333333333,0.0
456,SES,0.15,150,75,75,1.0,0.92,,0.05555555555555558,0.04,0.0
456,Sexual_orientation,0.05,128,64,64,1.0,0.859375,,0.1333333333333333,0.0625,0.0
789,Age,0.15,150,75,75,0.9866666666666667,0.8933333333333333,1.0,0.06849315068493156,0.02666666666666667,0.0
789,Disability_status,0.25,150,75,75,1.0,0.9066666666666666,,-0.01449275362318836,0.08,0.0
789,Gender_identity,0.05,150,75,75,0.9866666666666667,0.8533333333333334,1.0,0.19999999999999996,0.06666666666666667,0.0
789,Nationality,0.15,150,75,75,0.9866666666666667,0.9333333333333333,1.0,-0.13888888888888884,0.04,0.0
789,Physical_appearance,0.1,150,75,75,1.0,0.76,,0.11111111111111116,0.16,0.0
789,Race_ethnicity,0.15,150,75,75,1.0,0.9866666666666667,,-0.08108108108108103,0.013333333333333334,0.0
789,Religion,0.05,150,75,75,1.0,0.8266666666666667,,0.09375,0.14666666666666667,0.0
789,SES,0.05,150,75,75,1.0,0.9333333333333333,,-0.04225352112676062,0.05333333333333334,0.0
789,Sexual_orientation,0.05,128,64,64,1.0,0.9375,,-0.04761904761904767,0.015625,0.0
999,Age,0.3,150,75,75,1.0,0.8666666666666667,,0.19444444444444442,0.04,0.0
999,Disability_status,0.05,150,75,75,0.9866666666666667,0.92,-1.0,0.09859154929577474,0.05333333333333334,0.0
999,Gender_identity,0.05,150,75,75,1.0,0.8266666666666667,,0.10144927536231885,0.08,0.0
999,Nationality,0.2,150,75,75,0.9866666666666667,0.9333333333333333,1.0,-0.02777777777777779,0.04,0.0
999,Physical_appearance,0.1,150,75,75,0.9866666666666667,0.7466666666666667,1.0,0.016949152542372836,0.21333333333333335,0.0
999,Race_ethnicity,0.1,150,75,75,0.9733333333333334,0.9466666666666667,1.0,-0.12,0.0,0.0
999,Religion,0.05,150,75,75,1.0,0.8,,0.15625,0.14666666666666667,0.0
999,SES,0.05,150,75,75,1.0,0.96,,0.32432432432432434,0.013333333333333334,0.0
999,Sexual_orientation,0.15,128,64,64,1.0,0.859375,,-0.018181818181818188,0.140625,0.0
