category,n_total,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate
Age,300,0.96,0.7733333333333333,0.33333333333333326,-0.10526315789473684,0.19333333333333333
Disability_status,300,0.9866666666666667,0.7466666666666667,1.0,-0.05128205128205132,0.20666666666666667
Gender_identity,300,0.9733333333333334,0.8133333333333334,0.33333333333333326,-0.1578947368421053,0.15333333333333332
Nationality,300,0.8666666666666667,0.8733333333333333,0.3846153846153846,-0.19999999999999996,0.10666666666666667
Physical_appearance,300,0.9733333333333334,0.5733333333333334,1.0,-0.12676056338028174,0.32
Race_ethnicity,300,0.9933333333333333,0.94,1.0,-0.11538461538461542,0.05333333333333334
Race_x_SES,300,0.92,0.8,-0.6,0.07499999999999996,0.15333333333333332
Race_x_gender,300,0.9333333333333333,0.8733333333333333,0.6666666666666667,-0.09523809523809523,0.1
Religion,300,0.98,0.74,1.0,-0.025000000000000022,0.23333333333333334
SES,300,0.9266666666666666,0.88,-0.6666666666666667,0.11111111111111116,0.08
Sexual_orientation,300,0.9666666666666667,0.72,-1.0,-0.11764705882352944,0.25333333333333335
