category,n_total,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate
Age,300,0.9866666666666667,0.86,0.0,0.0,0.12666666666666668
Disability_status,300,1.0,0.6666666666666666,,-0.16417910447761197,0.32666666666666666
Gender_identity,300,1.0,0.84,,-0.1707317073170732,0.14
Nationality,300,0.9933333333333333,0.78,1.0,-0.1325301204819277,0.22
Physical_appearance,300,0.9933333333333333,0.5466666666666666,,-0.22580645161290325,0.32666666666666666
Race_ethnicity,300,1.0,0.88,,-0.19999999999999996,0.12
Race_x_SES,300,0.98,0.82,,0.10843373493975905,0.08666666666666667
Race_x_gender,300,1.0,0.8333333333333334,,-0.1428571428571429,0.14666666666666667
Religion,300,0.9933333333333333,0.7066666666666667,1.0,0.06329113924050622,0.26666666666666666
SES,300,0.9933333333333333,0.8,-1.0,0.0843373493975903,0.19333333333333333
Sexual_orientation,300,1.0,0.68,,-0.06060606060606055,0.31333333333333335
