seed,held_out_category,feature_set,mode,heldout_accuracy
42,Age,signals+embedding+primary,"signals,embedding,primary",0.94
42,Age,signals+embedding,"signals,embedding",0.936
42,Age,embedding_only,embedding,0.911
42,Age,signals_only,signals,0.865
42,Disability_status,signals+embedding+primary,"signals,embedding,primary",0.938
42,Disability_status,signals+embedding,"signals,embedding",0.931
42,Disability_status,embedding_only,embedding,0.914
42,Disability_status,signals_only,signals,0.82
42,Gender_identity,signals+embedding+primary,"signals,embedding,primary",0.933
42,Gender_identity,signals+embedding,"signals,embedding",0.937
42,Gender_identity,embedding_only,embedding,0.853
42,Gender_identity,signals_only,signals,0.74
42,Nationality,signals+embedding+primary,"signals,embedding,primary",0.877
42,Nationality,signals+embedding,"signals,embedding",0.878
42,Nationality,embedding_only,embedding,0.844
42,Nationality,signals_only,signals,0.798
42,Physical_appearance,signals+embedding+primary,"signals,embedding,primary",0.876
42,Physical_appearance,signals+embedding,"signals,embedding",0.885
42,Physical_appearance,embedding_only,embedding,0.905
42,Physical_appearance,signals_only,signals,0.672
42,Race_ethnicity,signals+embedding+primary,"signals,embedding,primary",0.913
42,Race_ethnicity,signals+embedding,"signals,embedding",0.912
42,Race_ethnicity,embedding_only,embedding,0.847
42,Race_ethnicity,signals_only,signals,0.908
42,Religion,signals+embedding+primary,"signals,embedding,primary",0.94
42,Religion,signals+embedding,"signals,embedding",0.944
42,Religion,embedding_only,embedding,0.909
42,Religion,signals_only,signals,0.809
42,SES,signals+embedding+primary,"signals,embedding,primary",0.965
42,SES,signals+embedding,"signals,embedding",0.963
42,SES,embedding_only,embedding,0.91
42,SES,signals_only,signals,0.857
42,Sexual_orientation,signals+embedding+primary,"signals,embedding,primary",0.9212962962962963
42,Sexual_orientation,signals+embedding,"signals,embedding",0.9259259259259259
42,Sexual_orientation,embedding_only,embedding,0.9305555555555556
42,Sexual_orientation,signals_only,signals,0.8287037037037037
123,Age,signals+embedding+primary,"signals,embedding,primary",0.943
123,Age,signals+embedding,"signals,embedding",0.932
123,Age,embedding_only,embedding,0.912
123,Age,signals_only,signals,0.866
123,Disability_status,signals+embedding+primary,"signals,embedding,primary",0.929
123,Disability_status,signals+embedding,"signals,embedding",0.923
123,Disability_status,embedding_only,embedding,0.913
123,Disability_status,signals_only,signals,0.822
123,Gender_identity,signals+embedding+primary,"signals,embedding,primary",0.944
123,Gender_identity,signals+embedding,"signals,embedding",0.943
123,Gender_identity,embedding_only,embedding,0.859
123,Gender_identity,signals_only,signals,0.767
123,Nationality,signals+embedding+primary,"signals,embedding,primary",0.881
123,Nationality,signals+embedding,"signals,embedding",0.878
123,Nationality,embedding_only,embedding,0.847
123,Nationality,signals_only,signals,0.798
123,Physical_appearance,signals+embedding+primary,"signals,embedding,primary",0.899
123,Physical_appearance,signals+embedding,"signals,embedding",0.9
123,Physical_appearance,embedding_only,embedding,0.917
123,Physical_appearance,signals_only,signals,0.665
123,Race_ethnicity,signals+embedding+primary,"signals,embedding,primary",0.909
123,Race_ethnicity,signals+embedding,"signals,embedding",0.906
123,Race_ethnicity,embedding_only,embedding,0.851
123,Race_ethnicity,signals_only,signals,0.909
123,Religion,signals+embedding+primary,"signals,embedding,primary",0.938
123,Religion,signals+embedding,"signals,embedding",0.938
123,Religion,embedding_only,embedding,0.893
123,Religion,signals_only,signals,0.811
123,SES,signals+embedding+primary,"signals,embedding,primary",0.968
123,SES,signals+embedding,"signals,embedding",0.969
123,SES,embedding_only,embedding,0.913
123,SES,signals_only,signals,0.861
123,Sexual_orientation,signals+embedding+primary,"signals,embedding,primary",0.9259259259259259
123,Sexual_orientation,signals+embedding,"signals,embedding",0.9259259259259259
123,Sexual_orientation,embedding_only,embedding,0.9398148148148148
123,Sexual_orientation,signals_only,signals,0.8252314814814815
456,Age,signals+embedding+primary,"signals,embedding,primary",0.953
456,Age,signals+embedding,"signals,embedding",0.947
456,Age,embedding_only,embedding,0.907
456,Age,signals_only,signals,0.865
456,Disability_status,signals+embedding+primary,"signals,embedding,primary",0.929
456,Disability_status,signals+embedding,"signals,embedding",0.926
456,Disability_status,embedding_only,embedding,0.906
456,Disability_status,signals_only,signals,0.821
456,Gender_identity,signals+embedding+primary,"signals,embedding,primary",0.945
456,Gender_identity,signals+embedding,"signals,embedding",0.945
456,Gender_identity,embedding_only,embedding,0.848
456,Gender_identity,signals_only,signals,0.741
456,Nationality,signals+embedding+primary,"signals,embedding,primary",0.885
456,Nationality,signals+embedding,"signals,embedding",0.883
456,Nationality,embedding_only,embedding,0.85
456,Nationality,signals_only,signals,0.799
456,Physical_appearance,signals+embedding+primary,"signals,embedding,primary",0.877
456,Physical_appearance,signals+embedding,"signals,embedding",0.879
456,Physical_appearance,embedding_only,embedding,0.895
456,Physical_appearance,signals_only,signals,0.669
456,Race_ethnicity,signals+embedding+primary,"signals,embedding,primary",0.909
456,Race_ethnicity,signals+embedding,"signals,embedding",0.91
456,Race_ethnicity,embedding_only,embedding,0.858
456,Race_ethnicity,signals_only,signals,0.91
456,Religion,signals+embedding+primary,"signals,embedding,primary",0.933
456,Religion,signals+embedding,"signals,embedding",0.935
456,Religion,embedding_only,embedding,0.885
456,Religion,signals_only,signals,0.809
456,SES,signals+embedding+primary,"signals,embedding,primary",0.967
456,SES,signals+embedding,"signals,embedding",0.97
456,SES,embedding_only,embedding,0.918
456,SES,signals_only,signals,0.861
