uid,category,gold_condition,pred_condition,is_correct
Age::3455::entity_masked,Age,disambig,disambig,1
Age::3455::light_rewrite,Age,disambig,disambig,1
Age::3455::masked_light_rewrite,Age,disambig,disambig,1
Religion::968::entity_masked,Religion,ambig,disambig,0
Religion::968::light_rewrite,Religion,ambig,ambig,1
Religion::968::masked_light_rewrite,Religion,ambig,disambig,0
Nationality::900::entity_masked,Nationality,ambig,ambig,1
Nationality::900::light_rewrite,Nationality,ambig,ambig,1
Nationality::900::masked_light_rewrite,Nationality,ambig,ambig,1
Race_ethnicity::5003::entity_masked,Race_ethnicity,disambig,disambig,1
Race_ethnicity::5003::light_rewrite,Race_ethnicity,disambig,disambig,1
Race_ethnicity::5003::masked_light_rewrite,Race_ethnicity,disambig,disambig,1
Gender_identity::2548::entity_masked,Gender_identity,ambig,ambig,1
Gender_identity::2548::light_rewrite,Gender_identity,ambig,ambig,1
Gender_identity::2548::masked_light_rewrite,Gender_identity,ambig,ambig,1
Religion::243::entity_masked,Religion,disambig,disambig,1
Religion::243::light_rewrite,Religion,disambig,disambig,1
Religion::243::masked_light_rewrite,Religion,disambig,disambig,1
Physical_appearance::948::entity_masked,Physical_appearance,ambig,ambig,1
Physical_appearance::948::light_rewrite,Physical_appearance,ambig,ambig,1
Physical_appearance::948::masked_light_rewrite,Physical_appearance,ambig,ambig,1
Religion::736::entity_masked,Religion,ambig,ambig,1
Religion::736::light_rewrite,Religion,ambig,ambig,1
Religion::736::masked_light_rewrite,Religion,ambig,ambig,1
Race_ethnicity::2429::entity_masked,Race_ethnicity,disambig,disambig,1
Race_ethnicity::2429::light_rewrite,Race_ethnicity,disambig,disambig,1
Race_ethnicity::2429::masked_light_rewrite,Race_ethnicity,disambig,disambig,1
Disability_status::789::entity_masked,Disability_status,disambig,disambig,1
Disability_status::789::light_rewrite,Disability_status,disambig,disambig,1
Disability_status::789::masked_light_rewrite,Disability_status,disambig,disambig,1
Physical_appearance::753::entity_masked,Physical_appearance,disambig,disambig,1
Physical_appearance::753::light_rewrite,Physical_appearance,disambig,disambig,1
Physical_appearance::753::masked_light_rewrite,Physical_appearance,disambig,disambig,1
Race_ethnicity::37::entity_masked,Race_ethnicity,disambig,disambig,1
Race_ethnicity::37::light_rewrite,Race_ethnicity,disambig,disambig,1
Race_ethnicity::37::masked_light_rewrite,Race_ethnicity,disambig,disambig,1
Age::2644::entity_masked,Age,ambig,ambig,1
Age::2644::light_rewrite,Age,ambig,ambig,1
Age::2644::masked_light_rewrite,Age,ambig,disambig,0
Sexual_orientation::774::entity_masked,Sexual_orientation,ambig,disambig,0
Sexual_orientation::774::light_rewrite,Sexual_orientation,ambig,ambig,1
Sexual_orientation::774::masked_light_rewrite,Sexual_orientation,ambig,disambig,0
Disability_status::268::entity_masked,Disability_status,ambig,ambig,1
Disability_status::268::light_rewrite,Disability_status,ambig,ambig,1
Disability_status::268::masked_light_rewrite,Disability_status,ambig,ambig,1
Nationality::1933::entity_masked,Nationality,disambig,disambig,1
Nationality::1933::light_rewrite,Nationality,disambig,disambig,1
Nationality::1933::masked_light_rewrite,Nationality,disambig,disambig,1
Religion::167::entity_masked,Religion,disambig,disambig,1
Religion::167::light_rewrite,Religion,disambig,disambig,1
Religion::167::masked_light_rewrite,Religion,disambig,disambig,1
Disability_status::1336::entity_masked,Disability_status,ambig,ambig,1
Disability_status::1336::light_rewrite,Disability_status,ambig,ambig,1
Disability_status::1336::masked_light_rewrite,Disability_status,ambig,ambig,1
Physical_appearance::894::entity_masked,Physical_appearance,ambig,ambig,1
Physical_appearance::894::light_rewrite,Physical_appearance,ambig,disambig,0
Physical_appearance::894::masked_light_rewrite,Physical_appearance,ambig,disambig,0
Nationality::310::entity_masked,Nationality,ambig,ambig,1
Nationality::310::light_rewrite,Nationality,ambig,ambig,1
Nationality::310::masked_light_rewrite,Nationality,ambig,ambig,1
Physical_appearance::94::entity_masked,Physical_appearance,ambig,disambig,0
Physical_appearance::94::light_rewrite,Physical_appearance,ambig,ambig,1
Physical_appearance::94::masked_light_rewrite,Physical_appearance,ambig,disambig,0
SES::6778::entity_masked,SES,ambig,ambig,1
SES::6778::light_rewrite,SES,ambig,ambig,1
SES::6778::masked_light_rewrite,SES,ambig,ambig,1
Disability_status::1386::entity_masked,Disability_status,ambig,ambig,1
Disability_status::1386::light_rewrite,Disability_status,ambig,ambig,1
Disability_status::1386::masked_light_rewrite,Disability_status,ambig,ambig,1
Sexual_orientation::461::entity_masked,Sexual_orientation,disambig,disambig,1
Sexual_orientation::461::light_rewrite,Sexual_orientation,disambig,disambig,1
Sexual_orientation::461::masked_light_rewrite,Sexual_orientation,disambig,disambig,1
Sexual_orientation::562::entity_masked,Sexual_orientation,ambig,ambig,1
Sexual_orientation::562::light_rewrite,Sexual_orientation,ambig,ambig,1
Sexual_orientation::562::masked_light_rewrite,Sexual_orientation,ambig,ambig,1
Race_ethnicity::3372::entity_masked,Race_ethnicity,ambig,ambig,1
Race_ethnicity::3372::light_rewrite,Race_ethnicity,ambig,ambig,1
