category,n_total,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate
Age,300,1.0,0.7533333333333333,,-0.1392405063291139,0.13333333333333333
Disability_status,300,1.0,0.6266666666666667,,-0.21126760563380287,0.26
Gender_identity,300,0.98,0.8066666666666666,1.0,-0.18918918918918914,0.17333333333333334
Nationality,300,1.0,0.76,,-0.1954022988505747,0.18666666666666668
Physical_appearance,300,1.0,0.54,,-0.22580645161290325,0.35333333333333333
Race_ethnicity,300,0.9933333333333333,0.7866666666666666,1.0,-0.22352941176470587,0.19333333333333333
Race_x_SES,300,0.9666666666666667,0.74,1.0,-0.04109589041095896,0.18666666666666668
Race_x_gender,300,1.0,0.7466666666666667,,-0.1466666666666666,0.18
Religion,300,1.0,0.6133333333333333,,-0.07936507936507942,0.35333333333333333
SES,300,1.0,0.84,,0.05617977528089879,0.13333333333333333
Sexual_orientation,300,1.0,0.5533333333333333,,-0.1228070175438597,0.41333333333333333
