seed,system,text_input,condition_accuracy,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate,parse_fail_rate
42,bow_unigram,context_plus_question_only,0.9894578313253012,1328,664,664,0.9969879518072289,0.8644578313253012,-1.0,0.08457711442786064,0.09186746987951808,0.0
42,word_1_2gram,context_plus_question_only,0.9954819277108434,1328,664,664,0.9969879518072289,0.875,-1.0,0.07868852459016384,0.08132530120481928,0.0
42,char_3_5gram,context_plus_question_only,0.9947289156626506,1328,664,664,0.9969879518072289,0.8719879518072289,-1.0,0.08223684210526305,0.08433734939759036,0.0
42,char_wb_3_5gram,context_plus_question_only,0.9887048192771084,1328,664,664,0.9969879518072289,0.8614457831325302,-1.0,0.08818635607321124,0.09487951807228916,0.0
123,bow_unigram,context_plus_question_only,0.9864457831325302,1328,664,664,0.9924698795180723,0.8644578313253012,-0.19999999999999996,0.024630541871921263,0.08283132530120482,0.0
123,word_1_2gram,context_plus_question_only,0.9977409638554217,1328,664,664,0.9984939759036144,0.8795180722891566,-1.0,0.02746365105008075,0.0677710843373494,0.0
123,char_3_5gram,context_plus_question_only,0.9932228915662651,1328,664,664,0.9984939759036144,0.8704819277108434,-1.0,0.027732463295269127,0.07680722891566265,0.0
123,char_wb_3_5gram,context_plus_question_only,0.9826807228915663,1328,664,664,0.9954819277108434,0.8569277108433735,0.33333333333333326,0.03322259136212624,0.09337349397590361,0.0
456,bow_unigram,context_plus_question_only,0.9939759036144579,1328,664,664,0.9984939759036144,0.8659638554216867,1.0,0.04885993485342022,0.07530120481927711,0.0
456,word_1_2gram,context_plus_question_only,0.9969879518072289,1328,664,664,0.9969879518072289,0.8719879518072289,1.0,0.0453074433656957,0.06927710843373494,0.0
456,char_3_5gram,context_plus_question_only,0.9992469879518072,1328,664,664,1.0,0.8719879518072289,,0.0453074433656957,0.06927710843373494,0.0
456,char_wb_3_5gram,context_plus_question_only,0.9939759036144579,1328,664,664,0.9984939759036144,0.8644578313253012,1.0,0.0538336052202284,0.07680722891566265,0.0
789,bow_unigram,context_plus_question_only,0.9917168674698795,1328,664,664,0.9939759036144579,0.8855421686746988,0.5,0.021138211382113914,0.07379518072289157,0.0
789,word_1_2gram,context_plus_question_only,0.9977409638554217,1328,664,664,0.9969879518072289,0.891566265060241,1.0,0.01453957996768973,0.0677710843373494,0.0
789,char_3_5gram,context_plus_question_only,0.9984939759036144,1328,664,664,1.0,0.8900602409638554,,0.012944983818770295,0.06927710843373494,0.0
789,char_wb_3_5gram,context_plus_question_only,0.9924698795180723,1328,664,664,0.9984939759036144,0.8840361445783133,1.0,0.01794453507340954,0.07680722891566265,0.0
999,bow_unigram,context_plus_question_only,0.9864457831325302,1328,664,664,0.9924698795180723,0.8599397590361446,0.6000000000000001,0.0897009966777409,0.09337349397590361,0.0
999,word_1_2gram,context_plus_question_only,0.9962349397590361,1328,664,664,0.9969879518072289,0.8719879518072289,0.0,0.08524590163934431,0.08132530120481928,0.0
999,char_3_5gram,context_plus_question_only,0.9939759036144579,1328,664,664,0.9969879518072289,0.8659638554216867,1.0,0.08910891089108919,0.08734939759036145,0.0
999,char_wb_3_5gram,context_plus_question_only,0.9871987951807228,1328,664,664,0.9909638554216867,0.8599397590361446,0.33333333333333326,0.0897009966777409,0.09337349397590361,0.0
