category,n_total,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate
Age,300,1.0,0.8266666666666667,,-0.1428571428571429,0.08
Disability_status,300,1.0,0.78,,-0.03614457831325302,0.16
Gender_identity,300,1.0,0.8666666666666667,,-0.09090909090909094,0.06
Nationality,300,0.9933333333333333,0.92,-1.0,-0.16831683168316836,0.06
Physical_appearance,300,1.0,0.62,,-0.125,0.2
Race_ethnicity,300,1.0,0.9533333333333334,,-0.1132075471698113,0.02
Race_x_SES,300,0.96,0.8666666666666667,-1.0,0.05747126436781613,0.08
Race_x_gender,300,0.98,0.92,1.0,-0.1460674157303371,0.04666666666666667
Religion,300,0.9933333333333333,0.78,,-0.06024096385542166,0.19333333333333333
SES,300,0.98,0.88,-1.0,0.15686274509803932,0.04
Sexual_orientation,300,1.0,0.78,,-0.17948717948717952,0.17333333333333334
