seed,category,far_uniform,far_cataware
42,Age,0.06666666666666667,0.06666666666666667
42,Disability_status,0.08,0.08
42,Gender_identity,0.10666666666666667,0.10666666666666667
42,Nationality,0.02666666666666667,0.02666666666666667
42,Physical_appearance,0.16,0.16
42,Race_ethnicity,0.05333333333333334,0.02666666666666667
42,Religion,0.10666666666666667,0.10666666666666667
42,SES,0.04,0.04
42,Sexual_orientation,0.109375,0.109375
123,Age,0.04,0.04
123,Disability_status,0.08,0.08
123,Gender_identity,0.06666666666666667,0.06666666666666667
123,Nationality,0.013333333333333334,0.013333333333333334
123,Physical_appearance,0.17333333333333334,0.17333333333333334
123,Race_ethnicity,0.04,0.04
123,Religion,0.08,0.08
123,SES,0.0,0.0
123,Sexual_orientation,0.109375,0.109375
456,Age,0.04,0.04
456,Disability_status,0.09333333333333334,0.09333333333333334
456,Gender_identity,0.013333333333333334,0.013333333333333334
456,Nationality,0.013333333333333334,0.013333333333333334
456,Physical_appearance,0.18666666666666668,0.18666666666666668
456,Race_ethnicity,0.02666666666666667,0.02666666666666667
456,Religion,0.13333333333333333,0.13333333333333333
456,SES,0.04,0.04
456,Sexual_orientation,0.0625,0.0625
789,Age,0.02666666666666667,0.02666666666666667
789,Disability_status,0.08,0.08
789,Gender_identity,0.06666666666666667,0.06666666666666667
789,Nationality,0.04,0.04
789,Physical_appearance,0.16,0.16
789,Race_ethnicity,0.013333333333333334,0.013333333333333334
789,Religion,0.14666666666666667,0.14666666666666667
789,SES,0.05333333333333334,0.05333333333333334
789,Sexual_orientation,0.015625,0.015625
999,Age,0.04,0.04
999,Disability_status,0.05333333333333334,0.05333333333333334
999,Gender_identity,0.08,0.08
999,Nationality,0.04,0.04
999,Physical_appearance,0.21333333333333335,0.21333333333333335
999,Race_ethnicity,0.0,0.0
999,Religion,0.14666666666666667,0.14666666666666667
999,SES,0.013333333333333334,0.013333333333333334
999,Sexual_orientation,0.140625,0.140625
