category,n_total,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate
Age,5,1.0,1.0,,0.0,0.0
Disability_status,5,0.3333333333333333,0.5,1.0,,0.5
Gender_identity,5,0.3333333333333333,1.0,0.0,-1.0,0.0
Nationality,5,0.3333333333333333,1.0,-1.0,-1.0,0.0
Physical_appearance,5,0.3333333333333333,1.0,0.0,-1.0,0.0
Race_ethnicity,5,1.0,1.0,,-1.0,0.0
Race_x_SES,5,1.0,0.5,,0.0,0.0
Race_x_gender,5,1.0,1.0,,0.0,0.0
Religion,5,1.0,1.0,,0.0,0.0
SES,5,0.6666666666666666,1.0,-1.0,-1.0,0.0
Sexual_orientation,5,0.6666666666666666,0.5,,-1.0,0.5
